City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
62,presidencia roque saenz pena,AR,2020-09-01 06:51:43,-26.79,-60.44,47.91,88,100,9.42,overcast clouds
63,yellowknife,CA,2020-09-01 06:51:43,62.46,-114.35,48.0,75,75,9.17,broken clouds
64,kupang,ID,2020-09-01 06:51:43,-10.17,123.58,87.8,62,75,10.29,broken clouds
65,ilulissat,GL,2020-09-01 06:51:43,69.22,-51.1,39.2,80,100,10.29,overcast clouds
66,hailar,CN,2020-09-01 06:51:44,49.2,119.7,57.06,85,100,4.27,overcast clouds
67,morondava,MG,2020-09-01 06:51:44,-20.28,44.28,78.96,63,0,6.24,clear sky
68,baruun-urt,MN,2020-09-01 06:51:44,46.68,113.28,51.3,87,100,14.65,heavy intensity rain
69,kuryk,KZ,2020-09-01 06:51:44,43.2,51.65,85.14,29,0,0.81,clear sky
70,sisimiut,GL,2020-09-01 06:51:44,66.94,-53.67,42.19,84,100,3.02,overcast clouds
71,georgetown,MY,2020-09-01 06:51:44,5.41,100.34,89.6,62,20,13.87,few clouds
72,bambous virieux,MU,2020-09-01 06:51:44,-20.34,57.76,75.99,73,75,17.22,shower rain
73,cherskiy,RU,2020-09-01 06:51:45,68.75,161.3,45.72,66,100,5.28,overcast clouds
74,talnakh,RU,2020-09-01 06:51:45,69.49,88.4,44.6,93,90,11.18,fog
75,non sung,TH,2020-09-01 06:51:45,15.18,102.26,89.6,70,40,3.36,scattered clouds
76,qaanaaq,GL,2020-09-01 06:51:45,77.48,-69.36,25.14,82,21,3.67,few clouds
77,tuktoyaktuk,CA,2020-09-01 06:51:45,69.45,-133.04,49.24,70,100,11.14,overcast clouds
78,hithadhoo,MV,2020-09-01 06:51:46,-0.6,73.08,81.59,73,97,8.75,overcast clouds
79,adrar,MR,2020-09-01 06:51:46,20.5,-10.07,86.2,36,5,4.54,clear sky
80,esso,RU,2020-09-01 06:51:46,55.93,158.7,51.53,53,100,4.63,overcast clouds
81,portland,US,2020-09-01 06:50:03,45.52,-122.68,66.2,68,1,9.17,clear sky
82,maldonado,UY,2020-09-01 06:51:46,-34.67,-54.92,44.01,70,90,9.17,overcast clouds
83,puerto ayora,EC,2020-09-01 06:51:46,-0.74,-90.35,64.51,82,97,9.91,overcast clouds
84,svetlyy,RU,2020-09-01 06:51:46,54.67,20.13,63.0,63,75,4.47,broken clouds
85,la palma,US,2020-09-01 06:51:46,33.85,-118.05,66.2,72,1,4.7,clear sky
86,coolum beach,AU,2020-09-01 06:51:04,-26.53,153.1,71.01,76,0,5.01,clear sky
87,port elizabeth,ZA,2020-09-01 06:51:47,-33.92,25.57,60.8,72,40,18.34,scattered clouds
88,saskylakh,RU,2020-09-01 06:51:47,71.92,114.08,51.87,53,100,9.04,overcast clouds
89,guerrero negro,MX,2020-09-01 06:51:47,27.98,-114.06,72.82,70,85,9.04,overcast clouds
90,hilo,US,2020-09-01 06:47:35,19.73,-155.09,78.8,74,90,4.7,overcast clouds
91,bathsheba,BB,2020-09-01 06:51:47,13.22,-59.52,78.8,83,20,4.7,few clouds
92,port lincoln,AU,2020-09-01 06:51:47,-34.73,135.87,66.83,52,100,18.95,overcast clouds
93,pevek,RU,2020-09-01 06:51:47,69.7,170.31,36.41,93,90,10.89,overcast clouds
94,port alfred,ZA,2020-09-01 06:51:47,-33.59,26.89,63.03,62,100,25.55,overcast clouds
95,bytow,PL,2020-09-01 06:51:48,54.17,17.49,57.99,87,20,2.24,few clouds
96,luderitz,NA,2020-09-01 06:51:48,-26.65,15.16,54.54,72,13,19.53,few clouds
97,marsa matruh,EG,2020-09-01 06:51:48,31.35,27.25,77.0,78,0,9.17,clear sky
98,nara,JP,2020-09-01 06:51:48,34.69,135.8,93.99,56,75,13.87,thunderstorm
99,tautira,PF,2020-09-01 06:51:48,-17.73,-149.15,77.0,61,20,3.36,few clouds
100,caconda,AO,2020-09-01 06:51:49,-13.73,15.07,68.09,49,0,4.38,clear sky
101,naliya,IN,2020-09-01 06:49:25,23.27,68.83,85.28,68,82,15.82,broken clouds
102,college,US,2020-09-01 06:51:49,64.86,-147.8,55.4,62,75,3.36,broken clouds
103,alpena,US,2020-09-01 06:51:49,45.06,-83.43,62.6,88,20,6.49,few clouds
104,severo-kurilsk,RU,2020-09-01 06:51:49,50.68,156.12,52.23,72,90,5.21,overcast clouds
105,manaure,CO,2020-09-01 06:51:49,11.78,-72.44,81.23,80,95,4.14,overcast clouds
106,gayny,RU,2020-09-01 06:51:49,60.31,54.32,51.75,99,100,5.21,light rain
107,pahrump,US,2020-09-01 06:51:49,36.21,-115.98,72.0,15,0,4.14,clear sky
108,ribeira grande,PT,2020-09-01 06:51:49,38.52,-28.7,66.2,72,20,9.17,few clouds
109,oksfjord,NO,2020-09-01 06:51:50,70.24,22.35,48.2,70,75,10.29,shower rain
110,cidreira,BR,2020-09-01 06:51:50,-30.18,-50.21,56.52,81,100,14.5,light rain
111,nargana,PA,2020-09-01 06:51:50,9.44,-78.59,79.68,83,100,4.36,overcast clouds
112,ponta do sol,PT,2020-09-01 06:51:50,32.67,-17.1,68.0,60,20,14.99,few clouds
113,barra patuca,HN,2020-09-01 06:51:50,15.8,-84.28,78.51,85,0,3.36,clear sky
114,vao,NC,2020-09-01 06:51:51,-22.67,167.48,67.42,79,99,16.8,overcast clouds
115,langxiang,CN,2020-09-01 06:51:51,46.95,128.88,67.48,91,98,3.15,overcast clouds
116,sao gabriel da cachoeira,BR,2020-09-01 06:51:51,-0.13,-67.09,71.35,89,36,0.25,scattered clouds
